"CALL_ID","MASTER_CUSTOMER_ID","CALL_DATE","DURATION_SECONDS","AGENT_NAME","CALL_TYPE","SENTIMENT","MP4_FILE_PATH","TRANSCRIPTION","SUMMARY","WAIT_SECONDS","WRAP_UP_SECONDS","RESOLVED_FIRST_CALL","CSAT_SCORE","NPS_SCORE","CHANNEL","ABANDONED","KEYWORDS"
"CALL-136","SF-SF-003VI00000BMUiiYAH","2025-08-27 10:00:00.000",232,"Emma Walsh","Outbound","Positive","\N","Follow-up call regarding claim status. Agent confirmed processing timeline and next steps.","Customer satisfied with resolution. No further action required. Positive interaction noted.",52,50,true,4.8,94,"Phone",false,"claim,status,processing,timeline"
"CALL-137","SF-SF-0033r00003wlAoKAAU","2025-08-14 17:00:00.000",269,"Patrick Murphy","Inbound","Negative","\N","Customer requested policy changes. Agent walked through options and updated preferences.","Customer expressed frustration. Follow-up required within 48 hours. Potential churn risk identified.",5,35,true,1.2,-13,"Phone",false,"cancellation,refund,dissatisfied"
"CALL-138","SF-SF-003VI0000123DiOYAU","2025-08-01 14:00:00.000",306,"Sarah O'Brien","Inbound","Neutral","\N","Technical support call - customer had login issues. Agent reset credentials and verified access.","Standard inquiry handled. Information provided. Customer acknowledged. No escalation needed.",14,108,true,4.1,24,"Phone",false,"login,password,access,technical"
"CALL-139","SF-SF-003VI00000ehKFnYAM","2025-07-19 11:00:00.000",343,"James Kelly","Outbound","Positive","\N","Renewal discussion. Agent presented upgrade options and confirmed existing coverage details.","Customer satisfied with resolution. No further action required. Positive interaction noted.",31,114,true,4.0,84,"Phone",false,"policy,renewal,upgrade,coverage"
"CALL-140","SF-SF-0033r00003xvaH8AAI","2025-07-06 08:00:00.000",380,"Maria Garcia","Inbound","Positive","\N","Customer called about billing inquiry. Agent reviewed account and provided clarification on recent charges.","Customer satisfied with resolution. No further action required. Positive interaction noted.",42,85,true,4.4,84,"Phone",false,"login,password,access,technical"
"CALL-143","SF-SF-003Do000009pfW7IAI","2026-05-28 09:00:00.000",491,"Patrick Murphy","Inbound","Positive","\N","Technical support call - customer had login issues. Agent reset credentials and verified access.","Customer satisfied with resolution. No further action required. Positive interaction noted.",44,117,true,4.8,85,"Phone",false,"claim,status,processing,timeline"
"CALL-144","SF-SF-003VI00000eszaXYAQ","2026-05-15 16:00:00.000",528,"Sarah O'Brien","Inbound","Negative","\N","Renewal discussion. Agent presented upgrade options and confirmed existing coverage details.","Customer expressed frustration. Follow-up required within 48 hours. Potential churn risk identified.",64,96,true,2.4,-44,"Chat",false,"billing,invoice,payment,charges"
"CALL-145","SF-SF-003VI00000tVrmmYAC","2026-05-02 13:00:00.000",565,"James Kelly","Outbound","Neutral","\N","Customer called about billing inquiry. Agent reviewed account and provided clarification on recent charges.","Standard inquiry handled. Information provided. Customer acknowledged. No escalation needed.",34,129,false,3.0,39,"Chat",false,"login,password,access,technical"
"CALL-146","SF-SF-0033r00003tEac5AAC","2026-04-19 10:00:00.000",62,"Maria Garcia","Inbound","Positive","\N","Follow-up call regarding claim status. Agent confirmed processing timeline and next steps.","Customer satisfied with resolution. No further action required. Positive interaction noted.",73,104,true,4.3,79,"Chat",false,"new-customer,onboarding,setup"
"CALL-147","SF-SF-003Do00000Pwpu8IAB","2026-04-06 17:00:00.000",99,"David Chen","Inbound","Negative","\N","Customer requested policy changes. Agent walked through options and updated preferences.","Customer expressed frustration. Follow-up required within 48 hours. Potential churn risk identified.",17,112,false,1.0,-21,"Chat",false,"policy,renewal,upgrade,coverage"
"CALL-149","SF-SF-003VI00000iSFFmYAO","2026-03-11 11:00:00.000",173,"Patrick Murphy","Inbound","Positive","\N","Renewal discussion. Agent presented upgrade options and confirmed existing coverage details.","Customer satisfied with resolution. No further action required. Positive interaction noted.",8,77,true,4.0,93,"Phone",true,"feedback,satisfaction,recommendation"
"CALL-150","SF-SF-003Do00000NUwxrIAD","2026-02-26 08:00:00.000",210,"Sarah O'Brien","Inbound","Positive","\N","Customer called about billing inquiry. Agent reviewed account and provided clarification on recent charges.","Customer satisfied with resolution. No further action required. Positive interaction noted.",61,142,true,4.1,86,"Phone",false,"cancellation,refund,dissatisfied"
"CALL-151","SF-SF-003VI00000JbZ2WYAV","2026-02-13 15:00:00.000",247,"James Kelly","Outbound","Negative","\N","Follow-up call regarding claim status. Agent confirmed processing timeline and next steps.","Customer expressed frustration. Follow-up required within 48 hours. Potential churn risk identified.",104,71,false,1.1,-32,"Phone",false,"claim,status,processing,timeline"
"CALL-152","SF-SF-003VI000011dVnfYAE","2026-01-31 12:00:00.000",284,"Maria Garcia","Inbound","Neutral","\N","Customer requested policy changes. Agent walked through options and updated preferences.","Standard inquiry handled. Information provided. Customer acknowledged. No escalation needed.",56,42,true,4.1,32,"Phone",false,"feedback,satisfaction,recommendation"
"CALL-153","SF-SF-003VI00000PDuZ6YAL","2026-01-18 09:00:00.000",321,"David Chen","Inbound","Positive","\N","Technical support call - customer had login issues. Agent reset credentials and verified access.","Customer satisfied with resolution. No further action required. Positive interaction noted.",19,149,true,4.6,86,"Phone",false,"cancellation,refund,dissatisfied"
"CALL-154","SF-SF-003Do00000K5DKnIAN","2026-01-05 16:00:00.000",358,"Emma Walsh","Outbound","Negative","\N","Renewal discussion. Agent presented upgrade options and confirmed existing coverage details.","Customer expressed frustration. Follow-up required within 48 hours. Potential churn risk identified.",44,37,false,1.9,-31,"Phone",false,"billing,invoice,payment,charges"
"CALL-155","SF-SF-0030Z00003XH4ozQAD","2025-12-23 13:00:00.000",395,"Patrick Murphy","Inbound","Neutral","\N","Customer called about billing inquiry. Agent reviewed account and provided clarification on recent charges.","Standard inquiry handled. Information provided. Customer acknowledged. No escalation needed.",74,36,true,3.5,42,"Phone",false,"feedback,satisfaction,recommendation"
"CALL-156","SF-SF-003VI00000BMUiiYAH","2025-12-10 10:00:00.000",432,"Sarah O'Brien","Inbound","Positive","\N","Follow-up call regarding claim status. Agent confirmed processing timeline and next steps.","Customer satisfied with resolution. No further action required. Positive interaction noted.",28,94,true,4.9,62,"Phone",false,"login,password,access,technical"
"CALL-157","SF-SF-0033r00003wlAoKAAU","2025-11-27 17:00:00.000",469,"James Kelly","Outbound","Negative","\N","Customer requested policy changes. Agent walked through options and updated preferences.","Customer expressed frustration. Follow-up required within 48 hours. Potential churn risk identified.",31,133,true,1.4,-20,"Email",false,"claim,status,processing,timeline"
"CALL-158","SF-SF-003VI0000123DiOYAU","2025-11-14 14:00:00.000",506,"Maria Garcia","Inbound","Neutral","\N","Technical support call - customer had login issues. Agent reset credentials and verified access.","Standard inquiry handled. Information provided. Customer acknowledged. No escalation needed.",90,115,true,4.0,47,"Phone",false,"feedback,satisfaction,recommendation"
"CALL-159","SF-SF-003VI00000ehKFnYAM","2025-11-01 11:00:00.000",543,"David Chen","Inbound","Positive","\N","Renewal discussion. Agent presented upgrade options and confirmed existing coverage details.","Customer satisfied with resolution. No further action required. Positive interaction noted.",43,144,true,4.1,68,"Chat",false,"new-customer,onboarding,setup"
"CALL-160","SF-SF-0033r00003xvaH8AAI","2025-10-19 08:00:00.000",580,"Emma Walsh","Outbound","Positive","\N","Customer called about billing inquiry. Agent reviewed account and provided clarification on recent charges.","Customer satisfied with resolution. No further action required. Positive interaction noted.",11,34,true,4.8,84,"Phone",false,"complaint,escalation,manager"
"CALL-161","SF-SF-003VI00000achW8YAI","2025-10-06 15:00:00.000",77,"Patrick Murphy","Inbound","Negative","\N","Follow-up call regarding claim status. Agent confirmed processing timeline and next steps.","Customer expressed frustration. Follow-up required within 48 hours. Potential churn risk identified.",14,76,false,2.0,-35,"Phone",false,"complaint,escalation,manager"
"CALL-162","SF-SF-0033r00003vzsVQAAY","2025-09-23 12:00:00.000",114,"Sarah O'Brien","Inbound","Neutral","\N","Customer requested policy changes. Agent walked through options and updated preferences.","Standard inquiry handled. Information provided. Customer acknowledged. No escalation needed.",17,142,true,3.7,16,"Chat",false,"login,password,access,technical"
"CALL-163","SF-SF-003Do000009pfW7IAI","2025-09-10 09:00:00.000",151,"James Kelly","Outbound","Positive","\N","Technical support call - customer had login issues. Agent reset credentials and verified access.","Customer satisfied with resolution. No further action required. Positive interaction noted.",43,50,true,4.4,87,"Phone",false,"policy,renewal,upgrade,coverage"
"CALL-164","SF-SF-003VI00000eszaXYAQ","2025-08-28 16:00:00.000",188,"Maria Garcia","Inbound","Negative","\N","Renewal discussion. Agent presented upgrade options and confirmed existing coverage details.","Customer expressed frustration. Follow-up required within 48 hours. Potential churn risk identified.",28,100,false,1.4,-43,"Phone",false,"claim,status,processing,timeline"
"CALL-165","SF-SF-003VI00000tVrmmYAC","2025-08-15 13:00:00.000",225,"David Chen","Inbound","Neutral","\N","Customer called about billing inquiry. Agent reviewed account and provided clarification on recent charges.","Standard inquiry handled. Information provided. Customer acknowledged. No escalation needed.",12,112,false,4.1,12,"Chat",false,"login,password,access,technical"
"CALL-166","SF-SF-0033r00003tEac5AAC","2025-08-02 10:00:00.000",262,"Emma Walsh","Outbound","Positive","\N","Follow-up call regarding claim status. Agent confirmed processing timeline and next steps.","Customer satisfied with resolution. No further action required. Positive interaction noted.",29,137,true,4.5,67,"Phone",false,"new-customer,onboarding,setup"
"CALL-167","SF-SF-003Do00000Pwpu8IAB","2025-07-20 17:00:00.000",299,"Patrick Murphy","Inbound","Negative","\N","Customer requested policy changes. Agent walked through options and updated preferences.","Customer expressed frustration. Follow-up required within 48 hours. Potential churn risk identified.",55,71,true,2.4,-36,"Chat",false,"feedback,satisfaction,recommendation"
"CALL-002","SF-00009001","2025-11-18 14:05:00.000",187,"James Kelly","Outbound","Positive","@CUSTOMER_360.PUBLIC.CALL_RECORDINGS_STAGE/call_002.mp4","Agent: Hi, this is James Kelly from accounts. Am I speaking with John Smith?
Customer: Yes, hi James.
Agent: I'm following up on your billing query from Friday. I've reviewed your invoice and you were correct - there was an error. We've issued a credit of €650 and your corrected invoice is now €1,800.
Customer: Brilliant, thanks for sorting that out so quickly.
Agent: No problem at all. The credit will appear on your next statement. Is there anything else?
Customer: No, all good. Appreciate the quick turnaround.
Agent: Great, have a good evening John.","Agent James Kelly from accounts corrected an invoice error for John Smith, issuing a €650 credit and reducing the invoice amount to €1,800. John expressed gratitude for the quick resolution and had no further queries.",16,129,true,4.6,89,"Phone",false,"login,password,access,technical"
"CALL-003","SF-00009001","2026-01-08 11:30:00.000",456,"Sarah O'Brien","Inbound","Negative","@CUSTOMER_360.PUBLIC.CALL_RECORDINGS_STAGE/call_003.mp4","Agent: Good morning, Sarah speaking. How can I help?
Customer: Hi Sarah, John Smith here. I'm having major issues accessing the platform since the upgrade last week. It keeps timing out.
Agent: I'm sorry to hear that, John. Let me check the system status. When did this start?
Customer: Since Monday. I've tried different browsers, cleared cache, nothing works. This is affecting my team's productivity.
Agent: I understand the urgency. I can see there are some known issues affecting accounts in the EU region. Our engineering team is working on a fix. Can I set up a temporary workaround for you?
Customer: I need this sorted today - we have a deadline.
Agent: Absolutely. Let me transfer you to our technical support team who can set up the workaround immediately. I'll stay on the line to make sure you're connected.
Customer: Fine, let's do that.
Agent: Transferring now... [hold music]
Tech Support: Hi John, this is Dave from tech support. Sarah briefed me. Let me walk you through the workaround...","Customer reported issues accessing the platform since the upgrade last week, affecting productivity. Agent checked system status and found known issues in EU region. Engineering team working on a fix. Customer requested a temporary workaround and was transferred to tech support for assistance.",80,137,false,1.6,-25,"Phone",false,"complaint,escalation,manager"
"CALL-004","SF-00009001","2026-02-20 16:45:00.000",234,"Maria Garcia","Inbound","Positive","@CUSTOMER_360.PUBLIC.CALL_RECORDINGS_STAGE/call_004.mp4","Agent: Thank you for calling, this is Maria. How may I help you?
Customer: Hi Maria, John Smith. I wanted to ask about upgrading our subscription tier.
Agent: Of course, John. I can see you're currently on the Professional plan. What are you looking to add?
Customer: We're growing the team and need more seats, plus the advanced analytics features.
Agent: The Enterprise plan would give you unlimited seats and full analytics. It's €3,200 per quarter. Would you like me to send you a comparison sheet?
Customer: Yes please. And can we schedule a demo of the analytics features?
Agent: Absolutely. I'll email the comparison and have our solutions team reach out to schedule a demo. Does this week work?
Customer: Next week would be better.
Agent: Perfect, I'll arrange that. Anything else?
Customer: That's all, thanks Maria.","Customer inquired about upgrading subscription to Enterprise plan for additional seats and advanced analytics. Agent provided price and sent comparison sheet, scheduled demo for next week.",22,77,true,4.9,62,"Email",false,"feedback,satisfaction,recommendation"
"CALL-005","SF-00009001","2026-04-03 10:15:00.000",128,"James Kelly","Outbound","Positive","@CUSTOMER_360.PUBLIC.CALL_RECORDINGS_STAGE/call_005.mp4","Agent: Good morning John, James Kelly here. Just calling to check in on how the Enterprise upgrade has been going for you?
Customer: Hey James, great actually. The team loves the analytics dashboard and the extra seats were exactly what we needed.
Agent: Fantastic to hear. And the onboarding went smoothly?
Customer: Yes, your solutions team were brilliant. Very smooth transition.
Agent: Excellent. Well if you ever need anything, don't hesitate to reach out. We'll do a formal quarterly review in June.
Customer: Sounds good. Thanks James.","The customer, John, is satisfied with the Enterprise upgrade, appreciating the new analytics dashboard and smooth onboarding process. The solutions team received praise for their assistance during the transition. A formal review is scheduled for June.",18,116,false,4.5,67,"Phone",true,"cancellation,refund,dissatisfied"
"CALL-006","SF-00009019","2025-12-02 13:20:00.000",289,"Sarah O'Brien","Inbound","Neutral","@CUSTOMER_360.PUBLIC.CALL_RECORDINGS_STAGE/call_006.mp4","Agent: Good afternoon, Sarah speaking. How can I help?
Customer: Hi, this is Patricia Murphy. I need to update my contact details on the account.
Agent: Of course, Patricia. Let me verify your identity first. Can you confirm your account email?
Customer: It's patricia.murphy@gmail.com.
Agent: Thank you. What changes do you need to make?
Customer: I've moved offices. The new address is 45 Grafton Street, Dublin 2, D02 XY89.
Agent: Got it. I've updated your mailing address. Would you like to update anything else - phone number, email?
Customer: No, just the address for now. Thanks.
Agent: Done. The change is effective immediately. Anything else I can help with?
Customer: No, that's all. Thank you Sarah.","Customer contacted the agent to update her mailing address (45 Grafton Street, Dublin 2, D02 XY89) on her account. The change was made and the customer did not request any other modifications.",77,95,true,3.1,19,"Email",false,"claim,status,processing,timeline"
"CALL-007","SF-00009004","2026-01-22 09:55:00.000",412,"Maria Garcia","Inbound","Negative","@CUSTOMER_360.PUBLIC.CALL_RECORDINGS_STAGE/call_007.mp4","Agent: Thank you for calling, Maria speaking.
Customer: Hi, this is Isabel Quam. I've been on hold for 20 minutes already. I need to report a data issue.
Agent: I apologise for the wait, Isabel. Let me help you with that right away. What's the issue?
Customer: We ran our monthly report and the numbers are completely wrong. Revenue figures are showing double what they should be.
Agent: I understand the concern. When did you first notice this?
Customer: This morning when we pulled the January report. It's showing €4.2 million when it should be around €2.1 million.
Agent: It sounds like there may be a duplication issue. Let me create an urgent ticket for our data engineering team. Can you send me a screenshot of the report to our support email?
Customer: I already sent one an hour ago.
Agent: Let me check... yes, I can see it. I'm escalating this as P1 priority. You'll have a response within 2 hours.
Customer: It needs to be fixed today, we have board reporting tomorrow.
Agent: Understood. I'm marking it as critical. Someone will call you back within the hour.
Customer: Fine. Thank you.","Customer reported a data issue with incorrect revenue figures in monthly report, agent created an urgent ticket for data engineering team and promised a response within 2 hours due to upcoming board reporting.",17,77,false,1.9,-50,"Phone",true,"complaint,escalation,manager"
"CALL-008","SF-00009005","2026-03-10 15:30:00.000",198,"James Kelly","Outbound","Positive","@CUSTOMER_360.PUBLIC.CALL_RECORDINGS_STAGE/call_008.mp4","Agent: Hi, is this John Smith?
Customer: Yes, speaking.
Agent: John, this is James Kelly. I'm calling about your contract renewal coming up in April.
Customer: Ah yes, I was meaning to call about that.
Agent: Great timing then. Your current 12-month agreement expires on April 15th. We'd love to offer you a 10% loyalty discount if you commit to another 12 months.
Customer: That's a nice offer. What would the total come to?
Agent: With the discount, it would be €5,400 for the year instead of €6,000.
Customer: Can I have a few days to discuss with my team?
Agent: Of course, take your time. The offer is valid until April 1st. I'll send the details in an email.
Customer: Perfect, thanks James.
Agent: Talk soon, John. Have a good one.","An agent, James Kelly, contacted John Smith regarding his contract renewal expiring on April 15th. The agent offered a 10% loyalty discount, reducing the annual cost from €6,000 to €5,400. John asked for time to discuss with his team and the offer was valid until April 1st. The agent sent the details in an email and ended the call.",21,103,true,4.0,66,"Email",false,"cancellation,refund,dissatisfied"
"CALL-009","SF-00009019","2026-02-14 10:30:00.000",267,"Maria Garcia","Inbound","Positive","@CUSTOMER_360.PUBLIC.CALL_RECORDINGS_STAGE/call_009.mp4","Agent: Good morning, Maria speaking.
Customer: Hi Maria, Patricia Murphy here. I just wanted to say the new reporting feature is fantastic.
Agent: That is great to hear, Patricia. Is there anything specific you find most useful?
Customer: The automated weekly summaries save me at least two hours every Monday. My team loves them.
Agent: Wonderful feedback. I will pass that along to our product team. Anything else I can help with?
Customer: No, just wanted to share that. Keep up the good work.
Agent: Thank you so much, Patricia. Have a lovely day.","Customer praised the new reporting feature's weekly summaries for saving time, benefiting her team. Agent acknowledged feedback and passed it along to the product team.",77,64,true,4.3,95,"Phone",false,"feedback,satisfaction,recommendation"
"CALL-010","SF-00009004","2026-02-28 14:15:00.000",523,"Sarah O'Brien","Inbound","Negative","@CUSTOMER_360.PUBLIC.CALL_RECORDINGS_STAGE/call_010.mp4","Agent: Thank you for calling, Sarah speaking.
Customer: Isabel Quam here. We have a serious issue. Our monthly analytics report is showing data from another company mixed in with ours.
Agent: I am very sorry to hear that, Isabel. That sounds like a data isolation concern. Let me escalate immediately.
Customer: This is a potential GDPR breach. We need this investigated urgently.
Agent: Absolutely understood. I am creating a P1 security ticket right now. Our data protection officer will be in contact within the hour.
Customer: I need written confirmation that no other customer has seen our data.
Agent: Of course. I will ensure you receive a formal incident report within 4 hours. Is there anything else immediate?
Customer: No, but I expect a call back within the hour as promised.
Agent: You have my word. I am personally flagging this with our security team now.","Customer reported a data isolation issue with mixed data in their monthly analytics report, potentially leading to a GDPR breach. Agent escalated the issue, created a P1 security ticket, and promised a formal incident report within 4 hours, as well as a call back within the hour. Customer expected immediate action and confirmation that no other customers had accessed their data.",29,76,true,1.6,-30,"Phone",false,"billing,invoice,payment,charges"
"CALL-011","SF-00009005","2026-04-20 09:00:00.000",198,"James Kelly","Outbound","Positive","@CUSTOMER_360.PUBLIC.CALL_RECORDINGS_STAGE/call_011.mp4","Agent: Good morning John, James Kelly here. Just calling for your quarterly review.
Customer: Hey James, perfect timing. Everything has been running smoothly.
Agent: Great to hear. Usage is up 15% this quarter. The team seems to be getting good value.
Customer: Definitely. The beta features you gave us early access to are particularly useful.
Agent: Excellent. Any feature requests for the next quarter?
Customer: Actually yes, we would love a mobile app for the dashboard.
Agent: Noted. I will raise that with product. Anything else?
Customer: That is it. Thanks James.
Agent: Talk soon, John.","Customer reported smooth operation, 15% usage increase, and requested a mobile app for the dashboard during a quarterly review call.",26,80,true,4.0,89,"Phone",false,"login,password,access,technical"
"CALL-012","SF-00009001","2026-05-10 16:00:00.000",312,"Maria Garcia","Inbound","Neutral","@CUSTOMER_360.PUBLIC.CALL_RECORDINGS_STAGE/call_012.mp4","Agent: Thank you for calling, this is Maria.
Customer: Hi Maria, John Smith. I need to add three more users to our Enterprise account.
Agent: Of course, John. You currently have 47 of your 50 seats allocated. Adding 3 will bring you to the maximum.
Customer: Right. And what happens if we need more than 50?
Agent: We can do an ad-hoc seat expansion at 95 euro per seat per month, or we can discuss upgrading to Enterprise Plus which gives unlimited seats.
Customer: Send me the Enterprise Plus pricing and I will discuss with the team.
Agent: I will email that over today. In the meantime, shall I add those 3 users now?
Customer: Yes please. The emails are sarah.walsh@snowflake.com, tom.burke@snowflake.com, and anna.kelly@snowflake.com.
Agent: Done. They will receive activation emails within 5 minutes.
Customer: Perfect, thanks Maria.","Customer requested to add three users to their Enterprise account, which currently has 47 out of 50 seats occupied. Agent offered two options for expanding the number of seats: a monthly fee for each additional seat or upgrading to Enterprise Plus with unlimited seats. Customer asked for Enterprise Plus pricing and requested to add the three users mentioned: sarah.walsh@snowflake.com, tom.burke@snowflake.com, and anna.kelly@snowflake.com. Agent confirmed the addition and informed the customers that they will receive activation emails within 5 minutes.",32,76,false,3.6,14,"Phone",false,"feedback,satisfaction,recommendation"
